"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","fare_amount","trip_duration_min","speed_mph","payment_type","year","month"
"2","2025-04-30 23:04:32.000","2025-04-30 23:26:37.000","1.0","7.43","32.4","22.083333333333332","20.187169811320757","1","2025","04"
"2","2025-04-30 23:40:25.000","2025-04-30 23:45:47.000","1.0","1.29","8.6","5.366666666666666","14.422360248447207","1","2025","04"
"2","2025-04-30 23:52:37.000","2025-05-01 00:08:34.000","1.0","2.09","16.3","15.95","7.862068965517241","1","2025","04"
"1","2025-04-30 23:24:48.000","2025-04-30 23:32:15.000","1.0","1.4","9.3","7.45","11.275167785234897","1","2025","04"
"1","2025-04-30 23:45:31.000","2025-04-30 23:56:55.000","1.0","2.9","14.9","11.4","15.26315789473684","1","2025","04"
"1","2025-04-30 23:46:23.000","2025-04-30 23:58:54.000","1.0","1.8","12.8","12.516666666666667","8.62849533954727","1","2025","04"
"2","2025-04-30 23:01:17.000","2025-04-30 23:04:55.000","1.0","0.67","5.8","3.6333333333333333","11.064220183486238","2","2025","04"
"2","2025-04-30 23:58:45.000","2025-05-01 00:10:00.000","1.0","3.37","15.6","11.25","17.973333333333333","1","2025","04"
"2","2025-04-30 23:23:17.000","2025-04-30 23:31:19.000","1.0","1.7","10.7","8.033333333333333","12.697095435684647","2","2025","04"
"2","2025-04-30 23:54:20.000","2025-05-01 00:04:10.000","1.0","2.32","12.8","9.833333333333334","14.15593220338983","1","2025","04"
