"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","fare_amount","trip_duration_min","speed_mph","payment_type","year","month"
"2","2025-05-30 17:44:52.000","2025-05-30 17:58:41.000","1.0","2.33","-15.6","13.816666666666666","10.118214716525936","4","2025","05"
"2","2025-05-30 17:44:52.000","2025-05-30 17:58:41.000","1.0","2.33","15.6","13.816666666666666","10.118214716525936","4","2025","05"
"1","2025-05-30 17:01:43.000","2025-05-30 18:02:41.000","6.0","15.6","68.1","60.96666666666667","15.352651722252595","1","2025","05"
"2","2025-05-30 17:30:29.000","2025-05-30 17:37:13.000","1.0","0.8","7.9","6.733333333333333","7.128712871287129","1","2025","05"
"2","2025-05-30 17:38:45.000","2025-05-30 17:59:11.000","1.0","1.31","17.7","20.433333333333334","3.8466557911908645","1","2025","05"
"2","2025-05-30 17:24:45.000","2025-05-30 18:07:43.000","2.0","6.61","40.8","42.96666666666667","9.230411171450736","1","2025","05"
"2","2025-05-30 17:10:09.000","2025-05-30 17:32:46.000","2.0","1.94","19.8","22.616666666666667","5.146647015475312","1","2025","05"
"2","2025-05-30 17:03:52.000","2025-05-30 17:22:06.000","1.0","2.28","17.7","18.233333333333334","7.502742230347348","1","2025","05"
"2","2025-05-30 17:24:34.000","2025-05-30 17:29:36.000","1.0","0.73","6.5","5.033333333333333","8.701986754966887","1","2025","05"
"2","2025-05-30 17:11:42.000","2025-05-30 17:30:55.000","4.0","1.77","17.0","19.216666666666665","5.526452732003469","1","2025","05"
"2","2025-05-30 17:45:45.000","2025-05-30 17:53:17.000","1.0","1.0","8.6","7.533333333333333","7.964601769911504","1","2025","05"
"2","2025-05-30 17:16:03.000","2025-05-30 17:43:44.000","1.0","2.33","23.3","27.683333333333334","5.049969897652017","1","2025","05"
"1","2025-05-30 17:44:15.000","2025-05-30 17:52:06.000","1.0","1.6","9.3","7.85","12.229299363057326","1","2025","05"
"2","2025-05-30 17:03:52.000","2025-05-30 17:16:51.000","2.0","1.35","12.8","12.983333333333333","6.238767650834403","1","2025","05"
"2","2025-05-30 17:18:03.000","2025-05-30 17:19:39.000","1.0","0.45","4.4","1.6","16.875","1","2025","05"
